variant,accuracy,precision,recall,f1_macro,auc,brier,ece,uncertainty_auroc,T_optimal
Full_EDL_UQ,0.8546238546238546,0.7470400728597449,0.55179952909519,0.7719990911377139,0.8873048426787092,0.10388579219579697,0.00977830474824344,0.8093649713251002,
wo_KL_Regularization,0.8562408562408562,0.7528577960676726,0.5538176925664312,0.7742395268390462,0.8880096371638736,0.10351011902093887,0.008995666202263011,0.8070609360128395,
wo_Annealing,0.8563178563178563,0.7487640449438202,0.560376723847965,0.7756003019733161,0.888697376817427,0.10333871096372604,0.009671150607315725,0.80794731957047,
Softmax_Baseline,0.8551243551243551,0.7431499220316329,0.5610494450050454,0.7743701879383106,0.8888603592038082,0.1034407988190651,0.008869816335922823,0.8107161004428415,
Softmax_TempScaling,0.8551243551243551,0.7431499220316329,0.5610494450050454,0.7743701879383106,0.8888603592038082,0.10352258384227753,0.010260128147416477,0.8107161841949424,1.0831255912780762
MSE_Evidence_Loss,0.8558943558943559,0.7565804798509201,0.5462495795492768,0.7723480667052764,0.8868113316096785,0.10337959975004196,0.012401008906630722,0.8060383340672339,
EDL_C1_Climatology_Prior,0.8545468545468545,0.7711355677838919,0.5184998318197107,0.7650642952979309,0.8873374702258412,0.1046355739235878,0.02232781902189098,0.8050080811874688,
