model,avg_skill,max_skill,best_cl_ratio
EDL-Fixed,0.21654644456881525,0.49797679133938033,0.23
LSTM,0.21937739180871593,0.5058913557489737,0.23
GRU,0.21806372670791732,0.500588631230604,0.23
MCDropout,0.20332930136202487,0.4862277163361036,0.23
BNN,0.1788957881172492,0.4620753450045755,0.23
LR,0.06440373103319821,0.3139707369293463,0.23
RF,0.21350687189314882,0.4833871512515725,0.23
XGB,0.14609259740948902,0.4090565088353376,0.23
