Method,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_macro_mean,f1_macro_std,f1_macro_ci_lower,f1_macro_ci_upper,f1_micro_mean,f1_micro_std,f1_micro_ci_lower,f1_micro_ci_upper,auc_mean,auc_std,auc_ci_lower,auc_ci_upper,average_precision_mean,average_precision_std,average_precision_ci_lower,average_precision_ci_upper,brier_score_mean,brier_score_std,brier_score_ci_lower,brier_score_ci_upper,ece_mean,ece_std,ece_ci_lower,ece_ci_upper,uncertainty_auroc_mean,uncertainty_auroc_std,uncertainty_auroc_ci_lower,uncertainty_auroc_ci_upper,uncertainty_aupr_mean,uncertainty_aupr_std,uncertainty_aupr_ci_lower,uncertainty_aupr_ci_upper,nll_dirichlet_mean,nll_dirichlet_std,nll_dirichlet_ci_lower,nll_dirichlet_ci_upper,sharpness_mean,sharpness_std,sharpness_ci_lower,sharpness_ci_upper
BNN,0.8571241033334897,0.0023845747003329023,0.8541632627770588,0.8600849438899205,0.7614723263501781,0.01654163389864668,0.7409331750667616,0.7820114776335947,0.5287745713090757,0.006767464402008843,0.5203716544019757,0.5371774882161756,0.7679012120497462,0.0016552529835166794,0.7658459440121941,0.7699564800872982,0.8571241033334897,0.0023845747003329023,0.8541632627770588,0.8600849438899205,0.8862744568738801,0.0024709201591890714,0.883206404269779,0.8893425094779811,0.7400737631889384,0.005512880835933713,0.7332286175285719,0.7469189088493048,0.10318397060123477,0.0010634837861046996,0.10186348107135514,0.1045044601311144,0.016152990886014025,0.0044283186200316915,0.01065450708294529,0.02165147468908276,0.806909047238595,0.00379417719747125,0.8021979540096893,0.8116201404675008,0.3794013803862447,0.0068122131425722415,0.37094290057902224,0.3878598601934672,0.333176021412506,0.0032098826878730535,0.3291904256405165,0.33716161718449555,0.06412427946925163,0.002815624165137993,0.060628220310927246,0.06762033862757601
EDL-UQ,0.8645131042242955,0.0021828761437475324,0.8618027055040663,0.8672235029445247,0.7731853267719028,0.007942411261364184,0.7633235206497387,0.7830471328940668,0.5600585529067337,0.010211917652890356,0.5473787824045182,0.5727383234089491,0.7827749089011506,0.004111484054281512,0.7776698271717605,0.7878799906305408,0.8645131042242955,0.0021828761437475324,0.8618027055040663,0.8672235029445247,0.8976801654195821,0.0019705591597663392,0.8952333930545695,0.9001269377845946,0.76368845926535,0.002612353842501773,0.7604447935485463,0.7669321249821537,0.09786712093344682,0.0008732905198604195,0.09678278753496349,0.09895145433193016,0.008974831191813892,0.001697006433423849,0.006867719398711322,0.011081942984916462,0.8165206290051901,0.002995186674712753,0.8128016135432996,0.8202396444670805,0.37723765289824424,0.00591838606506036,0.36988900599378793,0.38458629980270054,0.31662453978455174,0.0020176823869321667,0.31411925620488823,0.31912982336421525,0.07554718106985092,0.002431101192932383,0.07252857024259655,0.07856579189710529
GRU,0.8672605372966384,0.0028638730995464985,0.8637045691735074,0.8708165054197695,0.7776541073167307,0.008881625856238785,0.7666261122455232,0.7886821023879381,0.5713090757005437,0.007644954584036372,0.5618166108256428,0.5808015405754445,0.78814784070517,0.004684777985248999,0.7823309205413087,0.7939647608690312,0.8672605372966384,0.0028638730995464985,0.8637045691735074,0.8708165054197695,0.9009946876540941,0.0023285809515584083,0.8981033725196409,0.9038860027885472,0.7702124066365693,0.004841383984308541,0.7642010344417731,0.7762237788313655,0.09628298998034775,0.0012927925268046822,0.0946777760426675,0.097888203918028,0.007986766009840973,0.0028480929807507336,0.004450391492105934,0.011523140527576012,0.5,0.0,0.5,0.5,0.13273946270336162,0.0028638730995465115,0.12918349458023048,0.13629543082649276,0.311409291665076,0.0033003385795597933,0.3073113800689537,0.31550720326119835,0.07748063206672669,0.0020144241368522777,0.07497939413888452,0.07998186999456885
LSTM,0.8662103239720569,0.0028715765908092724,0.8626447907011643,0.8697758572429495,0.7652468567822783,0.01624662909030863,0.745074002348672,0.7854197112158846,0.5823504809703053,0.01414166436646246,0.5647912854517878,0.5999096764888228,0.7889101610117562,0.004359576754022473,0.7834970315088804,0.7943232905146319,0.8662103239720569,0.0028715765908092724,0.8626447907011643,0.8697758572429495,0.9005901418609709,0.001897670047338407,0.8982338732827211,0.9029464104392206,0.7694060382966255,0.004740335567512759,0.76352013428304,0.7752919423102109,0.09655503557408011,0.0011654873529236142,0.09510789188759305,0.09800217926056717,0.007983817613560377,0.0022686146959385615,0.00516696041981748,0.010800674807303273,0.5,0.0,0.5,0.5,0.13378967602794317,0.0028715765908092932,0.13022414275705058,0.13735520929883577,0.31202660242113983,0.0026429924157956083,0.3087448938909208,0.31530831095135886,0.07943048924207688,0.0020245451788707676,0.07691668438073604,0.08194429410341772
LogisticRegression,0.7914670167377749,0.0018628561085372445,0.7891539753739703,0.7937800581015795,0.52378931639481,0.002902886157006886,0.5201849071627704,0.5273937256268495,0.7695943120033458,0.0038655644413061667,0.7647945798038394,0.7743940442028523,0.739577167009244,0.002101476504353887,0.7369678392907167,0.7421864947277713,0.7914670167377749,0.0018628561085372445,0.7891539753739703,0.7937800581015795,0.8667563368473722,0.0024199349550340647,0.8637515907357115,0.8697610829590329,0.6953622077175055,0.006936987891799296,0.6867487995962829,0.703975615838728,0.14622581355461572,0.0014521495040375478,0.14442273179544285,0.1480288953137886,0.16393947651368385,0.0013445010869242463,0.16227005791850418,0.1656088951088635,0.736577324533869,0.004238482207680716,0.7313145537695647,0.7418400952981734,0.39269869669806673,0.005400678043337476,0.38599286920576503,0.3994045241903684,0.4538941248604238,0.004286252520145923,0.44857203941894846,0.45921621030189913,0.08680756948252,0.0002383902896462708,0.08651156884234486,0.08710357012269514
MCDropout,0.8644849735102443,0.002225558498364306,0.8617215776469289,0.8672483693735598,0.7688942114892124,0.007669629928044923,0.7593711081280129,0.778417314850412,0.5656210790464241,0.008075294612227314,0.5555942764515326,0.5756478816413156,0.7838085334624549,0.0038199566905090278,0.7790654307651522,0.7885516361597577,0.8644849735102443,0.002225558498364306,0.8617215776469289,0.8672483693735598,0.8968266191404852,0.0017074606813119197,0.8947065266841517,0.8989467115968187,0.7619033442035461,0.003724674078192413,0.7572785504956118,0.7665281379114804,0.09819964962562985,0.0008958192387568659,0.09708734312796714,0.09931195612329256,0.010235171564092075,0.002446011870782345,0.007198046684962593,0.013272296443221556,0.8148543977890099,0.0018286347759154248,0.8125838478218923,0.8171249477561275,0.37126370588447133,0.006412337001529076,0.3633017378853228,0.3792256738836199,0.3176368040726324,0.0021337309654039095,0.3149874271510378,0.320286180994227,0.07162313759326935,0.000524379042819689,0.07097203501438759,0.07227424017215112
RandomForest,0.8481972900745465,0.0034699932296470702,0.8438887244072829,0.85250585574181,0.6702528279825533,0.009420541850771267,0.6585556803228787,0.6819499756422278,0.6358009201171058,0.006961760761701899,0.6271567524151929,0.6444450878190187,0.7777177512158895,0.004696083340891525,0.77188679359894,0.783548708832839,0.8481972900745465,0.0034699932296470702,0.8438887244072829,0.85250585574181,0.8839978346914787,0.001877361830887106,0.8816667820944644,0.8863288872884931,0.7258185281887204,0.00656791299742101,0.7176633870764881,0.7339736693009526,0.11403366146956354,0.0012397284669121524,0.11249433526465037,0.1155729876744767,0.0880778333373233,0.0014827334067066178,0.08623677664728167,0.08991889002736493,0.8042539355762562,0.0030776587733184952,0.8004325174786707,0.8080753536738418,0.3828847910156173,0.007250502687393718,0.37388210285980084,0.39188747917143374,0.3728018481286905,0.0030292149656969128,0.3690405809629646,0.3765631152944164,0.0566456473124536,0.0002785558830910965,0.05629977450093153,0.05699152012397567
XGBoost,0.8205635519714942,0.0024529165385951367,0.817517853814922,0.8236092501280664,0.573780435615447,0.004296673644058341,0.5684454106395888,0.5791154605913053,0.7764951902969469,0.003957794302531365,0.7715809395991977,0.7814094409946961,0.769024533624938,0.0028914366962745595,0.7654343407760886,0.7726147264737873,0.8205635519714942,0.0024529165385951367,0.817517853814922,0.8236092501280664,0.8922270509535757,0.0024427953302778123,0.8891939199369895,0.8952601819701619,0.7514002077558825,0.006689147712535161,0.7430945338625604,0.7597058816492045,0.12621041512635844,0.001568297721342723,0.12426311630730218,0.1281577139454147,0.13584528547846636,0.0011673169793867716,0.13439587001066983,0.1372947009462629,0.7790303701091184,0.004850879365624573,0.7730072078411928,0.7850535323770439,0.3921591440239671,0.010424987985541393,0.37921481176061356,0.4051034762873207,0.3963929129229914,0.004007254284640378,0.39141724954610563,0.40136857629987716,0.09225546419620514,0.0004619546543403775,0.09168187173310803,0.09282905665930226
