,TP,FP,FN,TN,POD,FAR,CSI,BIAS,HSS,ETS,Brier,BSS,climatology_rate,REL,RES,UNC,BS_check
EDL-Fixed,3390.0,829.0,2556.0,19199.0,0.5701311806256211,0.19649205972978914,0.5003690036900295,0.7095526404305296,0.5888678617079679,0.4173017152176098,0.09284989535808563,0.594402424995389,0.22892122892122893,0.0005556406338983955,0.08394602231468,0.17651629987042325,0.09312591818964165
LSTM,3632.0,995.0,2314.0,19033.0,0.610830810628984,0.215042143937752,0.5232675407001798,0.7781701984527283,0.6086137130300947,0.43741534520617914,0.0916437953710556,0.5996710494571168,0.22892122892122893,0.00016763598265092882,0.08464584581897847,0.17651629987042325,0.09203809003409572
GRU,3518.0,905.0,2428.0,19123.0,0.5916582576521932,0.20461225412615408,0.5135016785870601,0.7438614194416289,0.6005495139048557,0.42913237722368147,0.09216897934675217,0.5973768805067663,0.22892122892122893,0.00014868881062984944,0.08407638374460036,0.17651629987042325,0.09258860493645274
MCDropout,3283.0,836.0,2663.0,19192.0,0.552135889673721,0.20296188395241072,0.48407549395457855,0.6927346115035201,0.5722047744255057,0.4007610924705686,0.09723498672246933,0.57524696535046,0.22892122892122893,0.0005054137315553213,0.07956273055021458,0.17651629987042325,0.097458983051764
BNN,3079.0,972.0,2867.0,19056.0,0.5178271106626217,0.23994075536903875,0.4450708297195657,0.6812983518331537,0.5285104535639269,0.3591669780080759,0.10615987330675125,0.5362602509140533,0.22892122892122893,0.0006259026029152041,0.07066680509112865,0.17651629987042325,0.1064753973822098
LR,4531.0,4155.0,1415.0,15873.0,0.7620248906827991,0.4783559751323915,0.44856944856944414,1.4608139926000427,0.4772495832960805,0.3134128732199658,0.15242032905335431,0.33418001595990177,0.22892122892122893,0.03667614530040392,0.06053962668944582,0.17651629987042325,0.15265281848138135
RF,4604.0,1093.0,1342.0,18935.0,0.7743020517995161,0.19185536247147283,0.6540701804233463,0.9581231079717296,0.7304827303087643,0.575401963997241,0.08586882087872247,0.6248979561840486,0.22892122892122893,0.0183755826815987,0.10864191114360536,0.17651629987042325,0.08624997140841659
XGB,4697.0,3019.0,1249.0,17009.0,0.7899428187016349,0.3912649040953811,0.5239263803680924,1.2976791120080509,0.5786475643177924,0.4071105447116297,0.11846636980772018,0.4825015997239197,0.22892122892122893,0.0222769261753727,0.08008212053854617,0.17651629987042325,0.11871110550724978
