corruption_type,level,accuracy,precision,recall,f1_macro,f1_micro,auc,average_precision,brier_score,ece,sharpness,uncertainty_auroc,uncertainty_aupr,nll_dirichlet,H_total_mean,H_total_std,H_alea_mean,H_alea_std,H_epi_mean,H_epi_std,precision_mean,precision_std
gaussian_noise,0.0,0.8643630737493554,0.7688585254768004,0.5648264324550397,0.7835231471982363,0.8643630737493554,0.8999107506577275,0.7630193862051171,0.09746558323036329,0.00904722012323741,0.07784786820411682,0.819768514494365,0.379729417179646,0.31494332446101897,0.3170294165611267,0.2179519087076187,0.3121899962425232,0.21695780754089355,0.004839422646909952,0.001152391778305173,104.01209259033203,22.2338809967041
gaussian_noise,0.01,0.8645974963664494,0.7699543899657925,0.5648264324550397,0.7837984053390479,0.8645974963664494,0.8999589701484513,0.7630647106272406,0.09745272836573698,0.009426905201093301,0.077877476811409,0.8193171480776982,0.37636889464634665,0.31486355975296615,0.31698328256607056,0.21794994175434113,0.312144011259079,0.21695584058761597,0.004839278757572174,0.0011524487053975463,104.01490783691406,22.237295150756836
gaussian_noise,0.05,0.8641286511322612,0.7658013544018059,0.5675449602676704,0.7837613282841644,0.8641286511322612,0.8995306438244158,0.7620308994826142,0.09770498271986,0.009297657699748918,0.07807900011539459,0.8191824906121236,0.3804420457956632,0.3154816617946529,0.31711289286613464,0.21800938248634338,0.3122727870941162,0.21701425313949585,0.004840145353227854,0.0011541388230398297,104.01568603515625,22.30735969543457
gaussian_noise,0.1,0.863659805898073,0.7633501967397415,0.5679631953157674,0.7832910360329954,0.863659805898073,0.8975673630266315,0.7578575851219189,0.09873067196414619,0.008822976046403506,0.07848776876926422,0.8152478441154751,0.3690936545737217,0.3183912515805589,0.3179989159107208,0.2182178795337677,0.31315428018569946,0.21721923351287842,0.0048446375876665115,0.0011590635403990746,103.98590087890625,22.511049270629883
gaussian_noise,0.15,0.8602372356884992,0.7492388596734016,0.5660811375993309,0.7789521050052222,0.8602372356884992,0.8941048927030079,0.7505687853578151,0.10049226315246657,0.009217454551311871,0.07907714694738388,0.8143290801776559,0.38115355104170046,0.323610774984383,0.3195946216583252,0.21853841841220856,0.3147416114807129,0.21753321588039398,0.004853010177612305,0.0011674723355099559,103.92826843261719,22.85277557373047
random_missing,0.0,0.8643630737493554,0.7688585254768004,0.5648264324550397,0.7835231471982363,0.8643630737493554,0.8999107506577275,0.7630193862051171,0.09746558323036329,0.00904722012323741,0.07784786820411682,0.819768514494365,0.379729417179646,0.31494332446101897,0.3170294165611267,0.2179519087076187,0.3121899962425232,0.21695780754089355,0.004839422646909952,0.001152391778305173,104.01209259033203,22.2338809967041
random_missing,0.05,0.8521262131370435,0.7242424242424242,0.5497699707235466,0.7664805458222901,0.8521262131370435,0.8819487913178983,0.7219299879525747,0.10631949494289983,0.013359210538680538,0.07770027965307236,0.8029923618313113,0.3837728334031769,0.3414721127979276,0.32658231258392334,0.2180887758731842,0.32169345021247864,0.21709904074668884,0.004888883326202631,0.0011480054818093777,103.09305572509766,21.932510375976562
random_missing,0.1,0.8433588072577243,0.6934228187919463,0.5401505646173149,0.7547171905140571,0.8433588072577243,0.866562167302259,0.6907822148765804,0.11348132914730596,0.020183797234237834,0.07749161869287491,0.7870553497469496,0.3686312294714016,0.3627053519593548,0.33565691113471985,0.2181849181652069,0.33072158694267273,0.217193603515625,0.004935303702950478,0.001148252747952938,102.281005859375,21.72205352783203
random_missing,0.2,0.8215106193445544,0.6253535613268192,0.5085738184859891,0.7244684385945162,0.8215106193445544,0.8289238817520335,0.6198459326108212,0.13011746917352532,0.041383172241257676,0.07689928263425827,0.7549972825636408,0.36197535886206134,0.41228036117426986,0.35289010405540466,0.21628564596176147,0.3478761613368988,0.215311661362648,0.005013951566070318,0.0011307954555377364,100.85476684570312,21.031105041503906
random_missing,0.3,0.8003188147592479,0.5640774320019603,0.48138854035968215,0.696719187977194,0.8003188147592479,0.7957197988963518,0.5587206415574735,0.1445424703470616,0.06152319554685763,0.07592308521270752,0.7332017260254414,0.3751372036299192,0.45413777166379965,0.37004783749580383,0.21286237239837646,0.3649596571922302,0.2119062840938568,0.005088174715638161,0.0011088323080912232,99.50423431396484,20.129690170288086
