variant,accuracy,precision,recall,f1_macro,f1_micro,auc,average_precision,brier_score,ece,sharpness,uncertainty_auroc,uncertainty_aupr,nll_dirichlet,H_total_mean,H_total_std,H_alea_mean,H_alea_std,H_epi_mean,H_epi_std,precision_mean,precision_std
full_model,0.8643630737493554,0.7688585254768004,0.5648264324550397,0.7835231471982363,0.8643630737493554,0.8999107506577275,0.7630193862051171,0.09746558323036329,0.00904722012323741,0.07784786820411682,0.819768514494365,0.379729417179646,0.31494332446101897,0.3170294165611267,0.2179519087076187,0.3121899962425232,0.21695780754089355,0.004839422646909952,0.001152391778305173,104.01209259033203,22.2338809967041
no_kl_regularization,0.8664728773032022,0.7824182242990654,0.5602258469259724,0.7851355688094155,0.8664728773032022,0.8995611324946744,0.7614520590881753,0.09765169841808008,0.010403128205742022,0.07493332773447037,0.8138540040971322,0.35906998114161054,0.31546072626915567,0.31308168172836304,0.2197776883840561,0.3084472715854645,0.2186238318681717,0.004634394776076078,0.0012885938631370664,111.17988586425781,29.710304260253906
no_annealing,0.8640348820854236,0.7740244612696564,0.5558343789209536,0.7814153305838465,0.8640348820854236,0.8981895530612432,0.7585593277902986,0.09836344537628715,0.006491096826705383,0.07705631852149963,0.8158711345125094,0.3732581201685763,0.3176535072721565,0.30981284379959106,0.2201758325099945,0.3055320084095001,0.21908263862133026,0.004280857741832733,0.001230741268955171,122.03614807128906,35.08928298950195
softmax_baseline,0.8051479206713864,0.5431724137931034,0.8235048097030531,0.759443037292052,0.8051479206713864,0.8984757421523678,0.7606384337984274,0.13054798798777098,0.14190985002572026,0.10698287934064865,0.7942772699181355,0.4202520153558357,0.40239300810942213,0.38929080963134766,0.22762908041477203,0.0,0.0,0.0,0.0,1.0,0.0
mse_evidence,0.8659102630221763,0.7688864017907107,0.5746549560853199,0.7871769545974359,0.8659102630221763,0.8968362352354902,0.7602881637223639,0.09816275794768178,0.010585568558133552,0.07859466969966888,0.8100290526518259,0.3596202328497832,0.31952878905298515,0.3101543188095093,0.21225565671920776,0.30155861377716064,0.2120664268732071,0.00859571062028408,0.0009053610265254974,54.504798889160156,6.3779377937316895
