perturbation,level,accuracy,f1_macro,ece,brier,uncertainty_auroc,S_mean,H_E_mean,H_T_mean,H_A_mean
Clean,0.0,0.8546238546238546,0.7719990911377139,0.00977830474824344,0.10388579219579697,0.8093649713251002,69.81990051269531,0.006984824780374765,0.3350520730018616,0.32806724309921265
Gaussian_Noise,0.01,0.8547778547778547,0.7724720848351695,0.009145149388637749,0.10388009995222092,0.80904842388546,69.82025909423828,0.006984868552535772,0.33505481481552124,0.3280699551105499
Gaussian_Noise,0.05,0.855008855008855,0.7730972923681257,0.01031822024358308,0.10438520461320877,0.8062798294998018,69.83879852294922,0.006984636187553406,0.33545053005218506,0.32846590876579285
Gaussian_Noise,0.1,0.8535458535458536,0.7712050318810734,0.00937723085847028,0.10530704259872437,0.8051433170790473,69.8410415649414,0.006985680665820837,0.3361755311489105,0.32918983697891235
Gaussian_Noise,0.15,0.8522368522368522,0.7697905890441448,0.009334833582583104,0.10684076696634293,0.7987775143115475,69.85493469238281,0.006993225775659084,0.33892524242401123,0.33193206787109375
Feature_Missing,0.05,0.8450758450758451,0.7578330942727936,0.012615790487665582,0.11121226102113724,0.7946698227491543,69.40838623046875,0.007041072938591242,0.34419384598731995,0.33715271949768066
Feature_Missing,0.1,0.836028336028336,0.7456137880854006,0.017757752495761548,0.11760184168815613,0.7832694800738094,69.00879669189453,0.007098255213350058,0.35343432426452637,0.34633612632751465
Feature_Missing,0.2,0.8168938168938169,0.718543179983858,0.03378904215137265,0.13062183558940887,0.7629436840168001,68.21088409423828,0.007199668325483799,0.3710519075393677,0.36385220289230347
Feature_Missing,0.3,0.7937937937937938,0.6849696574657779,0.04907653047886431,0.14505958557128906,0.7456490766531503,67.41191864013672,0.0073106312192976475,0.3874053657054901,0.3800947070121765
